,Very good,GTX 660$150,FX 6300$110,GIGABYTE GA-970A-UD3P$85,4GB$34,$558
,Great,R9 280$190,i3 4160$118,ASRock H97 Pro4$84,8GB$60,$631
,Excellent,R9 290$300,i5 4430$185,MSI Z97-G45 Gaming$140,8GB$60,$1002
,Exceptional,GTX 980$550,i5 4690K$215,GIGABYTE GA-Z97X-UD5H$175,8GB$60,$1479
,Enthusiast,GTX 970 x2$660,i5 4690K$215,GIGABYTE GA-Z97X-UD5H$175,8GB$60,$1654
,Extremist,R9 290X x2$680,i7 5820K$387,MSI X99S SLI Plus$200,16GB DDR4$180,$2242
,,,,,,
20150702,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$70,G3220$57,MSI H81M-P33$46,4GB$30,$342
,Entry,R7 250X$95,G3220$57,GIGABYTE GA-B85M-D3H$71,4GB$30,$392
,Fair,R7 260X$115,X4 860K$75,GIGABYTE GA-F2A88XM-D3H$70,4GB$30,$449
,Good,R7 265$145,X4 860K$75,GIGABYTE GA-F2A88X-D3H$78,4GB$30,$487
,Very good,R9 270$150,FX 6300$97,GIGABYTE GA-970A-UD3P$75,4GB$30,$534
,Great,R9 280$190,i3 4160$117,ASRock H97 Pro4$84,8GB$56,$629
,Excellent,R9 290$280,i5 4430$185,GIGABYTE GA-Z97X-UD3H$140,8GB$56,$981
,Exceptional,GTX 980$500,i5 4690K$236,GIGABYTE GA-Z97X-UD5H$175,8GB$56,$1430
,Enthusiast,R9 290X x2$630,i5 4690K$236,GIGABYTE GA-Z97X-UD5H$175,8GB$56,$1644
,Extremist,GTX 980 x2$1000,i7 5820K$390,MSI X99S SLI Plus$220,16GB DDR4$120,$2475
,,,,,,
20151006,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$70,G1840$48,MSI H81M-P33$46,4GB$21,$327
,Entry,R7 250X$90,G1840$48,ASRock H97M Anniversary$60,4GB$21,$361
,Fair,GTX 750 Ti$110,X4 860K$75,Gigabyte F2A88XM-D3H$69,4GB$21,$432
,Good,R7 265$130,X4 860K$75,Gigabyte F2A88X-D3H$75,4GB$21,$458
,Very good,GTX 950$155,FX 6300$100,MSI 970 Gaming$80,4GB$21,$533
,Great,GTX 960$180,i3 4170$115,ASRock H97 Pro4$84,8GB$38,$594
,Excellent,R9 290$300,i5 4430$184,Gigabyte Z97X-UD3H$130,8GB$38,$963
,Exceptional,GTX 980$490,i5 4690K$235,Gigabyte Z97X-UD7$175,8GB$38,$1367
,Enthusiast,R9 390 x2$620,i5 6600K$250,ASUS Z170 Pro Gaming$163,8GB DDR4$46,$1586
,Extremist,GTX 980 x2$980,i7 5820K$390,MSI X99S SLI Plus$230,16GB DDR4$89,$2364
,,,,,,
20160101,FAILED +/- 1 MONTH,,,,,
,,,,,,
20160401,FAILED +/- 1 MONTH,,,,,
,,,,,,
20160702,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240 $60,G1840$44,MSI H81M-P33$46,4GB DDR3$16,$307
,Entry,R7 250X $85,G1840$44,Gigabyte B85M Gaming 3$60,4GB DDR3$16,$346
,Fair,GTX 750 Ti $105,X4 860K$75,Gigabyte F2A88XM-D3H$71,4GB DDR3$16,$422
,Good,R7 370 $130,X4 860K$75,Gigabyte F2A88XM-D3H$71,4GB DDR3$16,$447
,Very good,GTX 950 $150,FX 6300$98,Gigabyte 970A-UD3P$94,8GB DDR3$28,$530
,Great,GTX 960 $173,FX 6350$118,Gigabyte 970A-UD3P$94,8GB DDR3$28,$616
,Excellent,R9 390 $290,i5 6400$185,ASRock Z170 Pro4S$110,8GB DDR4$29,$952
,Exceptional,GTX 980 $460,i5 6600K$243,ASUS Z170 Pro Gaming$170,8GB DDR4$29,$1319
,Enthusiast,GTX 980 Ti $560,i5 6600K$243,ASUS Z170 Pro Gaming$170,8GB DDR4$29,$1552
,Extremist,GTX 980 x2$920,i7 5820K$390,Gigabyte X99-SLI$200,16GB DDR4$52,$2193
,,,,,,
20160929,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$60,G1840$44,MSI H81M-P33$46,4GB DDR3$16,$307
,Entry,R7 250X$85,G1840$44,Gigabyte B85M Gaming 3$60,4GB DDR3$16,$346
,Fair,GTX 750 Ti$105,X4 860K$75,Gigabyte F2A88XM-D3H$71,4GB DDR3$16,$422
,Good,R7 370$130,X4 860K$75,Gigabyte F2A88XM-D3H$71,4GB DDR3$16,$447
,Very good,GTX 950$150,FX 6300$98,Gigabyte 970A-UD3P$94,8GB DDR3$28,$530
,Great,GTX 960$173,FX 6350$118,Gigabyte 970A-UD3P$94,8GB DDR3$28,$616
,Excellent,R9 390$290,i5 6400$185,ASRock Z170 Pro4S$110,8GB DDR4$29,$952
,Exceptional,GTX 980$460,i5 6600K$243,ASUS Z170 Pro Gaming$170,8GB DDR4$29,$1319
,Enthusiast,GTX 980 Ti$560,i5 6600K$243,ASUS Z170 Pro Gaming$170,8GB DDR4$29,$1552
,Extremist,GTX 980 x2$920,i7 5820K$390,Gigabyte X99-SLI$200,16GB DDR4$52,$2193
,,,,,,
20161221,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$49,G3900$43,ECS H110M4-C23$47,4GB DDR4$29,$309
,Entry,R7 250X$75,G4560$63,MSI B250M Pro-VD$66,4GB DDR4$29,$374
