Videocard Name,Passmark G3D Mark
Radeon R9 M395X,5194
Radeon Ryzen 7 PRO 6850U,5188
Q12U-1,5164
RadeonT 680M Ryzen 7 7735HS,5161
GeForce GTX 1050 3GB,5152
Radeon R9 M295X,5150
Intel Arc A380,5090
Ryzen 7 PRO 6860Z,5076
Ryzen 9 PRO 6950HS with Radeon Graphics,5067
FirePro S9000,5059
GeForce GTX 1050,5057
EIZO Quadro MED-XN51LP,5048
GRID P4-4Q,5042
Ryzen 7 PRO 6850U with Radeon Graphics,5042
Radeon R9 M395,5023
Radeon Ryzen 7 7735H,5021
Ryzen 7 6800U,5006
GeForce GTX 1630,5003
Intel Arc,4992
Radeon Instinct MI25 MxGPU,4978
Barco MXRT 7600,4943
Ryzen 7 6800H with Radeon Graphics,4921
FirePro S9050,4901
Radeon R9 270X,4895
T550 Laptop GPU,4848
Ryzen 7 6800U with Radeon Graphics,4844
GRID P40-2Q,4843
Intel Arc A310,4831
Radeon Pro Vega 16,4809
GeForce GTX 760,4791
Ryzen 7 PRO 6860Z with Radeon Graphics,4788
Radeon Ryzen 9 7950X 16-Core,4782
GRID RTX6000P-6Q,4777
FirePro S10000,4768
Radeon HD 7950 / R9 280,4764
Radeon Sky 500,4763
GRID P40-24Q,4727
Radeon R9 370,4722
Radeon Ryzen 7 PRO 6860Z,4680
Radeon Pro WX Vega M GL,4643
Radeon HD 7870,4641
GeForce MX550,4628
Intel Arc A370M,4625
Radeon Ryzen 7 6800U,4573
B8DKMDAP,4557
GeForce GTX 580,4555
Radeon Pro 465,4537
FirePro S7000,4523
GRID T4-8Q,4518
Radeon R7 370,4515
Tesla K40c,4494
Radeon HD 7870 XT,4469
GeForce GTX 1050 (Mobile),4461
GRID M60-1B,4456
Quadro P1000,4447
Citrix Indirect Display Adapter,4446
GRID P6-4Q,4429
Radeon Ryzen 9 PRO 6950HS,4422
GeForce GTX 660 Ti,4401
Radeon Ryzen 7 4800HS,4393
FirePro W7000 Adapter,4359
GRID GTX P40-6,4340
Tesla K20m,4330
Quadro K4200,4321
Radeon RX 5300M,4307
Quadro M2200,4306
Radeon R9 270,4306
Radeon Eng Sample: 100-000000561-40_Y,4292
FirePro W7000,4270
Radeon R9 270 / R7 370,4259
NVIDIA A40-8Q,4220
GRID RTX8000P-12A,4165
GRID V100D-8Q,4155
GeForce GTX 680MX,4142
Radeon RX 460,4111
Radeon Ryzen 5 7535HS,4104
GeForce GTX 480,4100
Intel Arc A310 LP,4099
FirePro W8000,4095
Radeon PRO Ryzen 5 PRO 6650U,4066
GeForce GTX 1050 with Max-Q Design,4048
Radeon Ryzen 5 Pro 7535U,4046
Radeon HD 7800-serie,4029
GeForce GTX 660,4002
Quadro M2000,3992
Quadro K5000,3986
GeForce GTX 570,3936
Radeon Ryzen 5 6600H,3928
GRID P6-2Q,3925
GeForce GTX 750 Ti,3900
GRID M60-8Q,3883
GeForce GTX 780M,3878
Radeon HD 8970M,3876
Matrox LUMA A310F,3873
Radeon Ryzen 5 7535U,3861
Radeon HD 7850,3856
Radeon HD 7970M,3846
GRID M60-4Q,3831
GeForce GTX 880M,3826
P104-100,3806
Radeon Ryzen 5 6600HS Creator Edition,3802
Radeon Pro WX 4100,3779
GeForce GTX 965M,3768
Barco MXRT 7500,3753
GRID T4-1Q,3742
GeForce MX450,3737
Ryzen 7 PRO 6850HS with Radeon Graphics,3736
T400 4GB,3728
T500,3704
GRID M60-1Q,3694
Matrox LUMA A310,3690
Radeon Ryzen 7 4800H,3687
Ryzen 5 6600HS Creator Edition,3685
Radeon Pro 560X,3677
Radeon R9 M485X,3660
Radeon Ryzen 5 PRO 6650U,3655
Radeon RX 560,3651
T400,3630
Quadro P620,3618
Radeon RX Vega M GL,3606
Ryzen 5 PRO 6650U with Radeon Graphics,3575
GeForce GTX 680M KY_Bullet Edition,3568
GRID M6-8Q,3568
Quadro K2200,3553
GeForce GTX 775M,3551
Radeon Ryzen 5 6600U,3551
Ryzen 5 7535U with Radeon Graphics,3529
Ryzen 5 PRO 6650U,3519
GRID K520,3516
Radeon 740M,3515
Quadro 7000,3505
Radeon Pro 560,3475
Quadro K2200M,3468
Quadro M2000M,3462
Radeon Pro 460,3452
GRID T4-2Q,3450
GeForce GTX 870M,3449
Tesla C2050 / C2070,3428
NVIDIA A10-4Q,3424
GeForce GTX 960M,3402
Radeon E8870PCIe,3368
Radeon HD8970M,3368
GeForce GTX 750,3360
GRID M10-1Q,3351
GeForce GTX 650 Ti BOOST,3348
Radeon R9 M390X,3346
GeForce GTX 590,3341
Tesla K40m,3281
Quadro P600,3280
GRID P100-8Q,3267
GRID T4-4Q,3260
Quadro M1200,3252
GeForce 770M,3245
Radeon R9 M470X,3244
Ryzen 5 6600U with Radeon Graphics,3233
Radeon R9 M290X,3226
GeForce GTX 680M,3215
Ryzen 7 5800HS with Radeon Graphics,3213
GRID P4-8A,3206
Radeon RX 560X,3196
Radeon R9 260,3181
Radeon R7 260X,3178
Tesla C2050,3175
Tesla M10,3171
FirePro V7000,3161
FirePro W7170M,3161
Radeon Pro 555,3140
Quadro K5100M,3125
Radeon Pro 455,3112
GeForce GTX 470,3093
Radeon HD 7790,3090
Radeon R7 360,3084
GeForce GTX 560 Ti,3040
Radeon R9 360,3031
Radeon Ryzen 5 5500GT,3024
GeForce GTX 860M,3019
Tesla C2075,3016
Radeon HD 6990,3013
FirePro W5100,2987
GRID M10-4Q,2976
FirePro W5000,2973
GRID K260Q,2949
Tesla K20Xm,2917
Radeon Ryzen 9 7900X 12-Core,2907
Quadro K1200,2902
Ryzen 9 5900HX with Radeon Graphics,2902
Quadro M1000M,2894
Radeon R7 260,2891
Eng Sample: 100-000000261-50_Y,2859
Radeon Pro V340 MxGPU,2853
FirePro M6100 FireGL V,2847
GRID K280Q,2839
Tesla C2070,2839
Radeon HD 6970,2836
FirePro W4300,2834
Quadro M620,2831
Radeon Ryzen 7 5800H,2828
FirePro 3D V9800,2811
Ryzen 7 5700G with Radeon Graphics,2811
GeForce MX350,2808
Radeon R9 M380,2806
Custom GPU 0405,2803
GeForce GTX 770M,2787
Quadro K5000M,2779
Radeon Ryzen 5 5600GT,2756
Ryzen 7 5800H with Radeon Graphics,2747
GeForce GTX 675MX,2744
GRID K2,2736
GeForce GTX 560,2731
Quadro K4100M,2731
FirePro S7150,2726
FirePro V9800,2726
Radeon Pro 450,2722
Quadro K4000,2720
Radeon HD 8950,2718
Radeon RX 550,2714
