CPU Name,CPU Mark
AMD Ryzen 7 4700G,20152
AMD Ryzen 7 PRO 7730U,20134
Intel Xeon W-1290 @ 3.20GHz,20123
Intel Core i9-10900F @ 2.80GHz,20090
Intel Core i9-9820X @ 3.30GHz,20001
Intel Xeon Gold 6144 @ 3.50GHz,19993
Intel Core i5-12500,19955
Intel Core i9-10900 @ 2.80GHz,19931
Intel Core i7-11700 @ 2.50GHz,19928
AMD Ryzen 5 5600G,19900
Intel Xeon E5-2695 v4 @ 2.10GHz,19871
AMD Ryzen 7 4700GE,19831
Intel Xeon Gold 6226 @ 2.70GHz,19810
Intel Xeon W-1350P @ 4.00GHz,19797
Intel Core i5-11600KF @ 3.90GHz,19676
Intel Core i5-11600K @ 3.90GHz,19648
Intel Xeon E5-2690 v4 @ 2.60GHz,19633
Intel Xeon E-2386G @ 3.50GHz,19613
Intel Core i9-10900E @ 2.80GHz,19595
Intel Core i5-1340P,19586
Intel Core i5-12400F,19552
AMD EPYC 3451,19532
Intel Core i9-9900KS @ 4.00GHz,19520
Intel Xeon E5-2682 v4 @ 2.50GHz,19495
Intel Xeon W-2245 @ 3.90GHz,19485
AMD Ryzen 5 5500,19483
Intel Core i5-12400,19435
AMD EPYC 7252,19411
Intel Xeon Gold 6137 @ 3.90GHz,19365
Intel Xeon Gold 6126 @ 2.60GHz,19223
AMD Ryzen 5 7540U,19220
Intel Core i7-1360P,19186
AMD Ryzen 9 4900H,19172
Intel Xeon D-2752TER @ 1.80GHz,19102
Intel Xeon Silver 4309Y @ 2.80GHz,19100
AMD Ryzen 5 PRO 6650H,19094
AMD Ryzen 9 4900HS,19090
Intel Xeon W-1350 @ 3.30GHz,19015
AMD Ryzen 5 Pro 7535U,19012
Intel Xeon Gold 6244 @ 3.60GHz,18980
Intel Xeon E5-2676 v4 @ 2.40GHz,18978
Intel Core i5-13420H,18969
Intel Core i9-11900T @ 1.50GHz,18968
Intel Xeon E-2356G @ 3.20GHz,18952
Intel Xeon E5-2698 v3 @ 2.30GHz,18936
AMD Ryzen 5 6600H,18932
Apple M3 8 Core,18930
Intel Core i7-11850HE @ 2.60GHz,18899
Intel Core i7-10700K @ 3.80GHz,18879
AMD Ryzen 7 7730U,18840
Hygon C86 7255 16-core,18831
ARM Neoverse-N1 80 Core 2600 MHz,18823
ARM Neoverse-N1 64 Core 2200 MHz,18803
Intel Xeon W-1290E @ 3.50GHz,18786
Intel Core Ultra 5 125U,18752
Intel Xeon E5-2697 v3 @ 2.60GHz,18748
AMD Ryzen Z1,18722
AMD Ryzen 5 5600GE,18721
Intel Core i7-10700KF @ 3.80GHz,18689
AMD Ryzen 5 3600XT,18674
Intel Xeon W-1270E @ 3.40GHz,18635
AMD Ryzen 7 4800H,18611
AMD Ryzen 7 5800U,18569
Intel Xeon W-1270P @ 3.80GHz,18553
Intel Core i5-12450HX,18549
AMD Ryzen 7 4800HS,18512
AMD Ryzen 7 PRO 4750GE,18448
AMD Ryzen 7 5825U,18423
AMD Ryzen 5 PRO 5650GE,18419
Intel Xeon W-1290T @ 1.90GHz,18409
Intel Xeon D-2183IT @ 2.20GHz,18385
AMD Ryzen Embedded V3C48,18361
AMD Ryzen 5 7535HS,18354
Intel Core i9-9900K @ 3.60GHz,18354
Intel Xeon Silver 4214R @ 2.40GHz,18342
Intel Core i9-9900KF @ 3.60GHz,18331
AMD Ryzen 5 6600HS Creator Edition,18316
Intel Xeon w3-2425,18284
Intel Xeon W-11855M @ 3.20GHz,18268
Intel Xeon E7-8880 v3 @ 2.30GHz,18244
AMD Ryzen 5 3600X,18220
Intel Xeon W-2145 @ 3.70GHz,18165
Intel Xeon E5-2686 v3 @ 2.00GHz,18148
Intel Xeon Gold 5120T @ 2.20GHz,18127
Intel Core i5-11600 @ 2.80GHz,18121
AMD Ryzen 5 PRO 7540U,18092
AMD 4700S,18086
Intel Core i7-9800X @ 3.80GHz,18078
Intel Xeon D-2187NT @ 2.00GHz,18070
Intel Xeon E5-2687W v4 @ 3.00GHz,18054
Intel Xeon E5-2680 v4 @ 2.40GHz,17971
Intel Core i7-1270PE,17960
Intel Core i7-13700E,17832
Intel Xeon D-1736NT @ 2.70GHz,17826
AMD Ryzen 5 3600,17775
Intel Core i5-11500B @ 3.30GHz,17752
Intel Xeon Gold 6234 @ 3.30GHz,17752
Intel Xeon E5-2683 v4 @ 2.10GHz,17751
AMD Ryzen 5 PRO 3600,17748
Intel Core i5-1250PE,17738
Intel Xeon Gold 5120 @ 2.20GHz,17686
Intel Xeon W-1270 @ 3.40GHz,17641
Intel Core i5-12600T,17551
AMD Ryzen 7 2700X,17548
Intel Core i7-1270P,17520
Intel Xeon E5-2680R v4 @ 2.40GHz,17487
Intel Core i7-6950X @ 3.00GHz,17485
Intel Xeon W-11555MRE @ 2.60GHz,17484
AMD Ryzen 7 4980U Microsoft Surface Edition,17469
Intel Core i5-11500 @ 2.70GHz,17452
Intel Xeon E5-4669 v3 @ 2.10GHz,17430
Intel Core i5-12450H,17381
Intel Xeon E-2288G @ 3.70GHz,17359
Intel Core i5-1240P,17295
Intel Core 5 120U,17292
Intel Xeon W-2140B @ 3.20GHz,17287
Intel Core i7-7820X @ 3.60GHz,17233
Intel Core i7-1260P,17215
Intel Xeon E-2378 @ 2.60GHz,17215
